Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Primary_Genre
"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,0.11887203951673472,1,0.7592955884663926,Drama,2.8466552323821697,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",0.17081067235761033,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2.372253600213716,-0.4671666909258587,Drama
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather,-0.8285693691863376,1,2.0291021965408396,"Crime, Drama",2.8466552323821697,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,2.0148485025393383,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,2.372253600213716,1.5359537557224312,Crime
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,0.721789299600508,14,1.1440854697010734,"Action, Crime, Drama",2.8466552323821697,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",0.5396182383939558,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather: Part II,-0.7424383320315129,1,2.5293290421459247,"Crime, Drama",2.8466552323821697,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1.0928295874484741,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,2.372253600213716,0.07686573209762436,Crime
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 Angry Men,-1.4745521478475232,12,-1.0107378652131394,"Crime, Drama",2.8466552323821697,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,1.6460409365029927,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,1.729494081749024,-0.9176970264505628,Crime
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Return of the King,0.5064617067134461,12,2.5293290421459247,"Action, Adventure, Drama",2.8466552323821697,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1.4616371534848198,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Pulp Fiction,0.11887203951673472,1,1.2210434459480097,"Crime, Drama",2.8466552323821697,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1.4616371534848198,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,2.372253600213716,1.0280081800877952,Crime
"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Schindler's List,0.07580652093932234,1,2.5293290421459247,"Biography, Drama, History",2.8466552323821697,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1.4616371534848198,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,2.372253600213716,0.8207930019375868,Biography
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Inception,0.8079203367553328,14,0.9901695172072011,"Action, Adventure, Sci-Fi",2.8466552323821697,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,-0.382400676696908,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Fight Club,0.33419963240379663,1,0.6438586240959884,Drama,2.8466552323821697,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",-1.120015808769599,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,2.372253600213716,-0.30393679284325936,Drama
"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Fellowship of the Ring,0.42033066955862136,12,2.144539160911244,"Action, Adventure, Drama",2.8466552323821697,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,1.277233370466647,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",Forrest Gump,0.11887203951673472,14,0.7592955884663926,"Drama, Romance",2.8466552323821697,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",0.3552144553757831,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,2.372253600213716,2.054514878571605,Drama
"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Il buono, il brutto, il cattivo",-1.0869624806508118,1,1.4903963628122863,Western,2.8466552323821697,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1.0928295874484741,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffr,1.7237615422090167,-0.8850083373709662,Western
"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Two Towers,0.4633961881360337,14,2.183018149034712,"Action, Adventure, Drama",2.8466552323821697,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",0.8162239129212151,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Matrix,0.33419963240379663,1,0.5284216597255841,"Action, Sci-Fi",2.8466552323821697,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",-0.4746025682059944,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,2.372253600213716,2.054514878571605,Action
"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Goodfellas,-0.053390034792914785,1,0.9132115409602649,"Biography, Crime, Drama",2.8466552323821697,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1.0928295874484741,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,2.372253600213716,-0.11970987892846864,Biography
